Pixel;Week;RRS412;RRS443;RRS490;RRS555;KD490;ZEU;ZHL
4;week 14;0.00114927766844630;0.00303881731815636;0.00331303779967129;0.00153612252324820;0.0866798311471939;50.9310913085938;21.1987781524658
4;week 15;0.00380776124075055;0.00391436275094748;0.00376143446192145;0.00245806318707764;0.110523320734501;49.9911651611328;20.8627948760986
4;week 16;0.00431195460259914;0.00421282509341836;0.00446888152509928;0.00360602675937116;0.138649329543114;42.5422782897949;18.1466560363770
4;week 17;0.00153906957712024;0.00195590802468359;0.00199680146761239;0.00193388853222132;0.273633360862732;27.6007175445557;12.2767620086670
4;week 18;NaN;NaN;NaN;NaN;NaN;32.3181304931641;14.1820640563965
4;week 19;0.00430484302341938;0.00496861431747675;0.00438164081424475;0.00220116903074086;0.0858738273382187;52.4967536926270;21.7600135803223
4;week 20;0.00562631338834763;0.00617492478340864;0.00527880713343620;0.00218514911830425;0.0715617015957832;58.4614028930664;23.9172840118408
4;week 21;NaN;NaN;NaN;NaN;NaN;58.7315979003906;23.9999351501465
4;week 22;0.00348207354545593;0.00411632703617215;0.00380774075165391;0.00161688728258014;0.0755670443177223;57.6997795104981;23.6367645263672
4;week 23;0.00476275524124503;0.00561211770400405;0.00500352308154106;0.00193773210048676;0.0682027637958527;63.1680068969727;25.6279163360596
4;week 24;0.00586083950474858;0.00631954520940781;0.00546488910913467;0.00209142966195941;0.0669358149170876;67.5040893554688;27.2528018951416
4;week 25;NaN;NaN;NaN;NaN;NaN;67.9330978393555;27.4078655242920
4;week 26;0.00526588363572955;0.00644932873547077;0.00556413736194372;0.00187048933003098;0.0601003803312779;73.7775726318359;29.6532402038574
4;week 27;0.00408917060121894;0.00471195392310619;0.00431848783046007;0.00237362505868077;0.0930813252925873;48.2749176025391;20.2458839416504
4;week 28;NaN;NaN;NaN;NaN;NaN;48.1707801818848;20.2072048187256
4;week 29;0.00173464906401932;0.00338777317665517;0.00352842942811549;0.00183868128806353;0.0909552499651909;48.6181068420410;20.3696727752686
4;week 30;0.00334886577911675;0.00377866858616471;0.00371680641546845;0.00170240330044180;0.0808079987764359;52.9664268493652;21.9268875122070
4;week 31;0.00351027701981366;0.00425254227593541;0.00380074465647340;0.00175257644150406;0.0810069590806961;54.4562873840332;22.4612865447998
4;week 32;0.00420325063169003;0.00442415615543723;0.00389904994517565;0.00181557808537036;0.0812535360455513;55.8518180847168;22.9619827270508
4;week 33;0.00397491920739412;0.00403559254482389;0.00365885952487588;0.00179027393460274;0.0861295312643051;54.5662841796875;22.5040378570557
4;week 34;0.00519029609858990;0.00457884185016155;0.00391736999154091;0.00192732119467109;0.0857054963707924;56.3283615112305;23.1390895843506
4;week 35;0.00360030378215015;0.00385090592317283;0.00322597636841238;0.00149144046008587;0.0837150737643242;55.7113571166992;22.9164352416992
4;week 36;0.00441077956929803;0.00514950137585402;0.00402124272659421;0.00205574883148074;0.0876182168722153;55.3875007629395;22.8018989562988
4;week 37;0.00404704315587878;0.00308691593818367;0.00310757663100958;0.00166449171956629;0.0951806828379631;56.0402374267578;23.0417404174805
4;week 38;NaN;NaN;NaN;NaN;NaN;61.8631896972656;25.1673793792725
4;week 39;NaN;NaN;NaN;NaN;NaN;71.7564392089844;28.8781547546387
4;week 40;NaN;NaN;NaN;NaN;NaN;67.1899871826172;27.1233940124512
4;week 41;0.00466829165816307;0.00488236732780933;0.00420063873752952;0.00213366164825857;0.0872551947832108;55.4329948425293;22.8286933898926
